# File outputs are as follows! #,,,,,,
# OutputType, SourceAddress, TargetAddress, PacketSize, Timestamp, Write_Frequency#,
summary,Smartphone,Cloud,34,1489818082592,15000,Sat 06:21:23
summary,Smartphone,Cloud,136,1489818097607,15000,Sat 06:21:38
summary,Smartphone,Cloud,24,1489819458361,15000,Sat 06:44:18
summary,Smartphone,Cloud,23012,1489819473374,15000,Sat 06:44:33
summary,Smartphone,Cloud,17,1489819490693,15000,Sat 06:44:51
summary,Smartphone,Cloud,136,1489819505720,15000,Sat 06:45:06
summary,Smartphone,Cloud,24,1489822223417,15000,Sat 07:30:23
summary,Smartphone,Cloud,24172,1489822238427,15000,Sat 07:30:38
summary,Smartphone,Cloud,17,1489822256348,15000,Sat 07:30:56
summary,Smartphone,Cloud,153,1489822271353,15000,Sat 07:31:11
summary,Smartphone,Cloud,24,1489824234457,15000,Sat 08:03:54
summary,Smartphone,Cloud,23853,1489824249473,15000,Sat 08:04:09
summary,Smartphone,Cloud,17,1489824267333,15000,Sat 08:04:27
summary,Smartphone,Cloud,153,1489824282339,15000,Sat 08:04:42
summary,Smartphone,Cloud,24,1489827036370,15000,Sat 08:50:36
summary,Smartphone,Cloud,24072,1489827051384,15000,Sat 08:50:51
summary,Smartphone,Cloud,17,1489827069656,15000,Sat 08:51:10
summary,Smartphone,Cloud,153,1489827084665,15000,Sat 08:51:25
summary,Smartphone,Cloud,24,1489828971840,15000,Sat 09:22:52
summary,Smartphone,Cloud,24040,1489828986849,15000,Sat 09:23:07
summary,Smartphone,Cloud,17,1489829004467,15000,Sat 09:23:24
summary,Smartphone,Cloud,136,1489829019489,15000,Sat 09:23:39
summary,Smartphone,Cloud,24,1489831836656,15000,Sat 10:10:37
summary,Smartphone,Cloud,17128,1489831862881,15000,Sat 10:11:03
summary,Smartphone,Cloud,34,1489831882704,15000,Sat 10:11:23
summary,Smartphone,Cloud,102,1489831897710,15000,Sat 10:11:38
summary,Smartphone,Cloud,24,1489833168584,15000,Sat 10:32:49
summary,Smartphone,Cloud,15648,1489833183594,15000,Sat 10:33:04
summary,Smartphone,Cloud,34,1489833217260,15000,Sat 10:33:37
summary,Smartphone,Cloud,102,1489833234699,15000,Sat 10:33:55
summary,Smartphone,Cloud,24,1489834978725,15000,Sat 11:02:59
summary,Smartphone,Cloud,16086,1489834993743,15000,Sat 11:03:14
summary,Smartphone,Cloud,34,1489835011341,15000,Sat 11:03:31
summary,Smartphone,Cloud,102,1489835026344,15000,Sat 11:03:46
summary,Smartphone,Cloud,24,1489837243716,15000,Sat 11:40:44
summary,Smartphone,Cloud,24677,1489837260257,15000,Sat 11:41:00
summary,Smartphone,Cloud,34,1489837283138,15000,Sat 11:41:23
summary,Smartphone,Cloud,136,1489837300173,15000,Sat 11:41:40
summary,Smartphone,Cloud,24,1489838497621,15000,Sat 12:01:38
summary,Smartphone,Cloud,23241,1489838513980,15000,Sat 12:01:54
summary,Smartphone,Cloud,17,1489838536538,15000,Sat 12:02:17
summary,Smartphone,Cloud,136,1489838551558,15000,Sat 12:02:32
summary,Smartphone,Cloud,24,1489840715880,15000,Sat 12:38:36
summary,Smartphone,Cloud,24762,1489840735031,15000,Sat 12:38:55
summary,Smartphone,Cloud,17,1489840753193,15000,Sat 12:39:13
summary,Smartphone,Cloud,153,1489840768215,15000,Sat 12:39:28
summary,Smartphone,Cloud,24,1489843528592,15000,Sat 13:25:29
summary,Smartphone,Cloud,16533,1489843551089,15000,Sat 13:25:51
summary,Smartphone,Cloud,34,1489843582311,15000,Sat 13:26:22
summary,Smartphone,Cloud,102,1489843597323,15000,Sat 13:26:37
summary,Smartphone,Cloud,63,1489843905602,15000,Sat 13:31:46
summary,Smartphone,Cloud,38138,1489843920607,15000,Sat 13:32:01
summary,Smartphone,Cloud,27677,1489843935610,15000,Sat 13:32:16
summary,Smartphone,Cloud,136,1489843952098,15000,Sat 13:32:32
summary,Smartphone,Cloud,136,1489843979395,15000,Sat 13:32:59
summary,Smartphone,Cloud,24,1489845876485,15000,Sat 14:04:36
summary,Smartphone,Cloud,15976,1489845909926,15000,Sat 14:05:10
summary,Smartphone,Cloud,7676,1489845961746,15000,Sat 14:06:02
summary,Smartphone,Cloud,34,1489846010731,15000,Sat 14:06:51
summary,Smartphone,Cloud,136,1489846067608,15000,Sat 14:07:48
summary,Smartphone,Cloud,24,1489847753724,15000,Sat 14:35:54
summary,Smartphone,Cloud,23557,1489847772455,15000,Sat 14:36:12
summary,Smartphone,Cloud,17,1489847820661,15000,Sat 14:37:01
summary,Smartphone,Cloud,136,1489847835671,15000,Sat 14:37:16
summary,Smartphone,Cloud,39,1489847949404,15000,Sat 14:39:09
summary,Smartphone,Cloud,13772,1489847964409,15000,Sat 14:39:24
summary,Smartphone,Cloud,5683,1489847979420,15000,Sat 14:39:39
summary,Smartphone,Cloud,68,1489847994425,15000,Sat 14:39:54
summary,Smartphone,Cloud,102,1489848009432,15000,Sat 14:40:09
summary,Smartphone,Cloud,28622,1489848024439,15000,Sat 14:40:24
summary,Smartphone,Cloud,1473,1489848039442,15000,Sat 14:40:39
summary,Smartphone,Cloud,1174,1489848054445,15000,Sat 14:40:54
summary,Smartphone,Cloud,368,1489848080770,15000,Sat 14:41:21
